Age,n,SarasotaFL_F,SarasotaFL_M,"Beware - placeholder - just all Sarasota County FL movers by age and sex, using 2013 to 2017 geographic mobility (residence ONE year ago) (accessed via IPUMS - very grateful for IPUMS!) "
0,5,0.013157786,0.009484881,
5,5,0.026315571,0.018969762,
10,5,0.02850439,0.015587043,
15,5,0.019400894,0.022435392,
20,5,0.043345246,0.041421738,
25,5,0.04001227,0.04939766,
30,5,0.027973767,0.037906362,
35,5,0.030660045,0.024939268,
40,5,0.026282407,0.024541302,
45,5,0.02621608,0.030311825,
50,5,0.032417733,0.02673012,
55,5,0.034556806,0.029101341,
60,5,0.040725294,0.027691875,
65,5,0.040775042,0.044306999,
70,5,0.026663792,0.027708457,
75,5,0.015454387,0.017377895,
80,5,0.019782279,0.016167411,
85,Inf,0.025619128,0.018057755,
