PopName,Year,x,n,lx_Female,lx_Male,"Human Life Table Database, August 2022"
Korea (Republic of),2017,0,1,100000,100000,
Korea (Republic of),2017,1,4,99869,99843,
Korea (Republic of),2017,5,5,99863,99836,
Korea (Republic of),2017,10,5,99814,99806,
Korea (Republic of),2017,15,5,99809,99739,
Korea (Republic of),2017,20,5,99665,99653,
Korea (Republic of),2017,25,5,99607,99564,
Korea (Republic of),2017,30,5,99528,99388,
Korea (Republic of),2017,35,5,99427,99275,
Korea (Republic of),2017,40,5,99171,99120,
Korea (Republic of),2017,45,5,99008,98567,
Korea (Republic of),2017,50,5,98654,97695,
Korea (Republic of),2017,55,5,97852,96097,
Korea (Republic of),2017,60,5,97011,92967,
Korea (Republic of),2017,65,5,95513,89244,
Korea (Republic of),2017,70,5,93347,84715,
Korea (Republic of),2017,75,5,89904,73814,
Korea (Republic of),2017,80,5,78809,58551,
Korea (Republic of),2017,85,5,62821,38943,
Korea (Republic of),2017,90,5,40096,17355,
Korea (Republic of),2017,95,5,17250,4500,
Korea (Republic of),2017,100,Inf,4081,527,
